index,County,Precinct,Registered Voters,Rebecca Liles Grist (I) (Dem)_Election Day Votes,Rebecca Liles Grist (I) (Dem)_Advanced Voting Votes,Rebecca Liles Grist (I) (Dem)_Absentee by Mail Votes,Rebecca Liles Grist (I) (Dem)_Provisional Votes,Rebecca Liles Grist (I) (Dem)_Choice Total,Total,
0,Bibb,East Macon 1,2108,238,362,319,6,925,925,
1,Bibb,East Macon 2,3932,455,993,740,7,2195,2195,
2,Bibb,East Macon 3,3494,363,855,583,7,1808,1808,
3,Bibb,East Macon 4,2280,352,498,453,6,1309,1309,
4,Bibb,East Macon 5,2552,308,633,486,2,1429,1429,
5,Bibb,Godfrey 1,6283,600,1479,977,5,3061,3061,
6,Bibb,Godfrey 2,2158,219,341,258,1,819,819,
7,Bibb,Godfrey 3,3292,393,720,451,6,1570,1570,
8,Bibb,Godfrey 4,2231,256,344,263,1,864,864,
9,Bibb,Godfrey 5,4761,655,1122,641,4,2422,2422,
10,Bibb,Hazzard 1,3377,465,764,511,3,1743,1743,
11,Bibb,Hazzard 2,4173,675,1065,494,5,2239,2239,
12,Bibb,Hazzard 3,7068,686,1988,1103,12,3789,3789,
13,Bibb,Hazzard 4,4745,598,1382,750,4,2734,2734,
14,Bibb,Howard 1,3436,376,1008,641,3,2028,2028,
15,Bibb,Howard 2,3394,388,958,564,4,1914,1914,
16,Bibb,Howard 3,6397,718,1851,981,4,3554,3554,
17,Bibb,Howard 4,1711,200,491,253,1,945,945,
18,Bibb,Howard 5,2272,346,592,239,4,1181,1181,
19,Bibb,Howard 6,2213,266,662,316,8,1252,1252,
20,Bibb,Howard 7,2897,380,818,479,3,1680,1680,
21,Bibb,Rutland 1,5704,780,1499,740,4,3023,3023,
22,Bibb,Rutland 2,3409,541,735,369,5,1650,1650,
23,Bibb,Vineville 1,3572,374,867,561,3,1805,1805,
24,Bibb,Vineville 2,2067,255,428,362,0,1045,1045,
25,Bibb,Vineville 3,3127,332,756,527,4,1619,1619,
26,Bibb,Vineville 4,4097,543,951,625,9,2128,2128,
27,Bibb,Vineville 5,2359,277,668,357,2,1304,1304,
28,Bibb,Vineville 6,3021,389,764,510,5,1668,1668,
29,Bibb,Warrior 1,2617,466,535,320,2,1323,1323,
30,Bibb,Warrior 2,3232,395,840,387,3,1625,1625,
