index,County,Precinct,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
0,Bibb,Hazzard 2,4173,719,892,399,3,2013,2013,
1,Bibb,Hazzard 4,4745,723,1547,611,4,2885,2885,
2,Bibb,Howard 1,3436,457,1106,625,1,2189,2189,
3,Bibb,Howard 2,3394,483,1128,561,4,2176,2176,
4,Bibb,Howard 3,6397,164,504,237,0,905,905,
5,Bibb,Howard 6,2213,279,676,273,8,1236,1236,
6,Bibb,Howard 7,2897,450,930,425,1,1806,1806,
7,Bibb,Rutland 1,5704,1085,1617,667,2,3371,3371,
8,Bibb,Rutland 2,3409,538,620,227,0,1385,1385,
9,Bibb,Vineville 5,2359,299,721,318,1,1339,1339,
10,Bibb,Vineville 6,3021,418,718,367,0,1503,1503,
11,Bibb,Warrior 1,2617,680,624,253,3,1560,1560,
12,Bibb,Warrior 2,3232,634,1001,319,5,1959,1959,
