index,County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,
0,Bibb,Hazzard 2,4173,492,514,227,3,1236,379,781,403,2,1565,2801,
1,Bibb,Hazzard 4,4745,232,625,240,1,1098,141,452,307,2,902,2000,
2,Bibb,Howard 1,3436,302,715,407,0,1424,123,353,299,0,775,2199,
3,Bibb,Howard 2,3394,417,919,444,0,1780,123,421,325,2,871,2651,
4,Bibb,Howard 3,6397,580,1363,574,0,2517,339,1053,684,0,2076,4593,
5,Bibb,Howard 4,1711,140,342,132,0,614,108,306,184,0,598,1212,
6,Bibb,Howard 5,2272,179,263,103,0,545,220,456,203,2,881,1426,
7,Bibb,Howard 6,2213,203,500,193,3,899,123,365,215,7,710,1609,
8,Bibb,Howard 7,2897,388,794,309,0,1491,121,340,326,0,787,2278,
9,Bibb,Vineville 5,2359,219,520,220,0,959,135,377,252,1,765,1724,
10,Bibb,Vineville 6,3021,307,472,246,0,1025,184,487,400,1,1072,2097,
