index,County,Precinct,Registered Voters,J. T. Ricketson (Rep)_Election Day Votes,J. T. Ricketson (Rep)_Advanced Voting Votes,J. T. Ricketson (Rep)_Absentee by Mail Votes,J. T. Ricketson (Rep)_Provisional Votes,J. T. Ricketson (Rep)_Choice Total,David Davis (I) (Dem)_Election Day Votes,David Davis (I) (Dem)_Advanced Voting Votes,David Davis (I) (Dem)_Absentee by Mail Votes,David Davis (I) (Dem)_Provisional Votes,David Davis (I) (Dem)_Choice Total,Total,
0,Bibb,East Macon 1,2108,21,21,9,1,52,224,358,332,5,919,971,
1,Bibb,East Macon 2,3932,42,80,36,0,158,437,964,757,8,2166,2324,
2,Bibb,East Macon 3,3494,117,275,117,0,509,304,741,550,7,1602,2111,
3,Bibb,East Macon 4,2280,46,42,16,1,105,333,484,460,5,1282,1387,
4,Bibb,East Macon 5,2552,107,157,62,1,327,255,578,468,1,1302,1629,
5,Bibb,Godfrey 1,6283,102,191,66,0,359,536,1386,969,6,2897,3256,
6,Bibb,Godfrey 2,2158,41,37,9,0,87,197,334,258,1,790,877,
7,Bibb,Godfrey 3,3292,42,86,27,0,155,372,702,451,6,1531,1686,
8,Bibb,Godfrey 4,2231,47,63,22,0,132,231,320,268,2,821,953,
9,Bibb,Godfrey 5,4761,102,140,85,1,328,596,1053,629,3,2281,2609,
10,Bibb,Hazzard 1,3377,52,114,53,1,220,443,718,506,4,1671,1891,
11,Bibb,Hazzard 2,4173,419,469,168,3,1059,457,823,454,4,1738,2797,
12,Bibb,Hazzard 3,7068,257,606,210,7,1080,562,1754,1051,10,3377,4457,
13,Bibb,Hazzard 4,4745,497,1043,322,2,1864,339,901,624,3,1867,3731,
14,Bibb,Howard 1,3436,360,846,382,1,1589,155,498,456,2,1111,2700,
15,Bibb,Howard 2,3394,389,850,335,1,1575,153,492,427,4,1076,2651,
16,Bibb,Howard 3,6397,557,1252,467,3,2279,373,1165,786,2,2326,4605,
17,Bibb,Howard 4,1711,118,297,95,0,510,130,351,224,1,706,1216,
18,Bibb,Howard 5,2272,165,255,83,1,504,240,470,218,3,931,1435,
19,Bibb,Howard 6,2213,168,458,152,5,783,158,409,255,6,828,1611,
20,Bibb,Howard 7,2897,349,747,257,0,1353,159,397,374,3,933,2286,
21,Bibb,Rutland 1,5704,813,1029,373,1,2216,372,1060,644,3,2079,4295,
22,Bibb,Rutland 2,3409,632,586,197,1,1416,239,498,282,5,1024,2440,
23,Bibb,Vineville 1,3572,180,355,127,4,666,278,686,533,1,1498,2164,
24,Bibb,Vineville 2,2067,107,149,58,1,315,199,366,352,0,917,1232,
25,Bibb,Vineville 3,3127,34,74,42,0,150,311,743,526,4,1584,1734,
26,Bibb,Vineville 4,4097,86,146,43,0,275,503,902,629,9,2043,2318,
27,Bibb,Vineville 5,2359,196,470,164,0,830,166,436,302,2,906,1736,
28,Bibb,Vineville 6,3021,261,445,196,1,903,228,526,442,5,1201,2104,
29,Bibb,Warrior 1,2617,565,465,139,2,1171,185,330,277,1,793,1964,
30,Bibb,Warrior 2,3232,536,684,165,4,1389,147,560,339,3,1049,2438,
