index,County,Precinct,Registered Voters,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_Choice Total",Total,
0,Bibb,East Macon 1,2108,241,364,327,6,938,938,
1,Bibb,East Macon 2,3932,453,1010,748,7,2218,2218,
2,Bibb,East Macon 3,3494,348,795,542,6,1691,1691,
3,Bibb,East Macon 4,2280,355,507,463,6,1331,1331,
4,Bibb,East Macon 5,2552,299,638,468,2,1407,1407,
5,Bibb,Godfrey 1,6283,596,1465,1011,6,3078,3078,
6,Bibb,Godfrey 2,2158,221,355,262,1,839,839,
7,Bibb,Godfrey 3,3292,396,733,458,4,1591,1591,
8,Bibb,Godfrey 4,2231,251,346,264,2,863,863,
9,Bibb,Godfrey 5,4761,653,1123,649,3,2428,2428,
10,Bibb,Hazzard 1,3377,471,768,521,4,1764,1764,
11,Bibb,Hazzard 3,7068,681,1948,1101,13,3743,3743,
12,Bibb,Rutland 2,3409,144,178,118,4,444,444,
13,Bibb,Vineville 1,3572,342,809,538,2,1691,1691,
14,Bibb,Vineville 2,2067,248,417,364,0,1029,1029,
15,Bibb,Vineville 3,3127,327,759,530,4,1620,1620,
16,Bibb,Vineville 4,4097,551,943,634,6,2134,2134,
