index,County,Precinct,Registered Voters,Charles Dean (Rep)_Election Day Votes,Charles Dean (Rep)_Advanced Voting Votes,Charles Dean (Rep)_Absentee by Mail Votes,Charles Dean (Rep)_Provisional Votes,Charles Dean (Rep)_Choice Total,Penny E. Thomas (I) (Dem)_Election Day Votes,Penny E. Thomas (I) (Dem)_Advanced Voting Votes,Penny E. Thomas (I) (Dem)_Absentee by Mail Votes,Penny E. Thomas (I) (Dem)_Provisional Votes,Penny E. Thomas (I) (Dem)_Choice Total,Total,
0,Turner,Ashburn,3509,107,439,57,0,603,321,999,308,1,1629,2232,
1,Turner,Sycamore,1609,81,474,37,0,592,70,441,71,1,583,1175,
2,Turner,Rebecca,464,59,97,11,0,167,70,68,31,0,169,336,
