index,County,Precinct,Registered Voters,David Mathis (Rep)_Election Day Votes,David Mathis (Rep)_Advanced Voting Votes,David Mathis (Rep)_Absentee by Mail Votes,David Mathis (Rep)_Provisional Votes,David Mathis (Rep)_Choice Total,Total,
0,Turner,Ashburn,3509,43,220,21,0,284,284,
1,Turner,Sycamore,1609,11,116,17,0,144,144,
2,Turner,Rebecca,464,123,155,31,0,309,309,
