index,County,Precinct,Registered Voters,Bryce A. Johnson (Rep)_Election Day Votes,Bryce A. Johnson (Rep)_Advanced Voting Votes,Bryce A. Johnson (Rep)_Absentee by Mail Votes,Bryce A. Johnson (Rep)_Provisional Votes,Bryce A. Johnson (Rep)_Choice Total,Total,
0,Turner,Ashburn,3509,301,1121,225,0,1647,1647,
1,Turner,Sycamore,1609,141,847,91,0,1079,1079,
2,Turner,Rebecca,464,122,154,31,0,307,307,
