index,County,Precinct,Registered Voters,Samuel G. Brown (I) (Dem)_Election Day Votes,Samuel G. Brown (I) (Dem)_Advanced Voting Votes,Samuel G. Brown (I) (Dem)_Absentee by Mail Votes,Samuel G. Brown (I) (Dem)_Provisional Votes,Samuel G. Brown (I) (Dem)_Choice Total,Total,
0,Turner,Ashburn,3509,111,299,86,0,496,496,
1,Turner,Sycamore,1609,12,76,6,0,94,94,
