index,County,Precinct,Registered Voters,Ranee F. Gregory (I) (Rep)_Election Day Votes,Ranee F. Gregory (I) (Rep)_Advanced Voting Votes,Ranee F. Gregory (I) (Rep)_Absentee by Mail Votes,Ranee F. Gregory (I) (Rep)_Provisional Votes,Ranee F. Gregory (I) (Rep)_Choice Total,Total,
0,Turner,Ashburn,3509,324,1206,266,1,1797,1797,
1,Turner,Sycamore,1609,144,860,94,1,1099,1099,
2,Turner,Rebecca,464,124,154,31,0,309,309,
