index,County,Precinct,Registered Voters,Clay Pirkle (I) (Rep)_Election Day Votes,Clay Pirkle (I) (Rep)_Advanced Voting Votes,Clay Pirkle (I) (Rep)_Absentee by Mail Votes,Clay Pirkle (I) (Rep)_Provisional Votes,Clay Pirkle (I) (Rep)_Choice Total,Lethia Jones Kittrell (Dem)_Election Day Votes,Lethia Jones Kittrell (Dem)_Advanced Voting Votes,Lethia Jones Kittrell (Dem)_Absentee by Mail Votes,Lethia Jones Kittrell (Dem)_Provisional Votes,Lethia Jones Kittrell (Dem)_Choice Total,Total,
0,Turner,Ashburn,3509,157,829,144,0,1130,268,597,218,1,1084,2214,
1,Turner,Sycamore,1609,125,816,84,1,1026,26,86,25,0,137,1163,
2,Turner,Rebecca,464,113,149,28,0,290,10,14,14,0,38,328,
