index,County,Precinct,Registered Voters,Andy Hester (I) (Rep)_Election Day Votes,Andy Hester (I) (Rep)_Advanced Voting Votes,Andy Hester (I) (Rep)_Absentee by Mail Votes,Andy Hester (I) (Rep)_Provisional Votes,Andy Hester (I) (Rep)_Choice Total,Mark Wynn (Dem)_Election Day Votes,Mark Wynn (Dem)_Advanced Voting Votes,Mark Wynn (Dem)_Absentee by Mail Votes,Mark Wynn (Dem)_Provisional Votes,Mark Wynn (Dem)_Choice Total,Total,
0,Turner,Ashburn,3509,193,878,179,1,1251,240,568,188,0,996,2247,
1,Turner,Sycamore,1609,97,643,76,1,817,55,272,33,0,360,1177,
2,Turner,Rebecca,464,92,136,25,0,253,37,27,17,0,81,334,
