index,County,Precinct,Registered Voters,Allen Weaver (Dem)_Election Day Votes,Allen Weaver (Dem)_Advanced Voting Votes,Allen Weaver (Dem)_Absentee by Mail Votes,Allen Weaver (Dem)_Provisional Votes,Allen Weaver (Dem)_Choice Total,Total,
0,Turner,Ashburn,3509,111,300,89,0,500,500,
1,Turner,Sycamore,1609,12,78,7,0,97,97,
