index,County,Precinct,Registered Voters,Mary Lee Green (I) (Dem)_Election Day Votes,Mary Lee Green (I) (Dem)_Advanced Voting Votes,Mary Lee Green (I) (Dem)_Absentee by Mail Votes,Mary Lee Green (I) (Dem)_Provisional Votes,Mary Lee Green (I) (Dem)_Choice Total,Total,
0,Turner,Ashburn,3509,393,1317,340,0,2050,2050,
1,Turner,Sycamore,1609,129,781,95,1,1006,1006,
2,Turner,Rebecca,464,110,142,36,0,288,288,
