index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Emanuel,Oak Park,686,260,143,41,0,444,12,11,10,0,33,477,
1,Emanuel,Cross-Green,241,32,34,4,0,70,59,18,28,0,105,175,
2,Emanuel,Swainsboro,6988,635,1687,514,1,2837,374,771,462,0,1607,4444,
3,Emanuel,Summertown,504,148,99,34,0,281,23,22,30,0,75,356,
4,Emanuel,Stillmore,608,135,95,28,0,258,62,38,20,0,120,378,
5,Emanuel,Blundale,756,227,246,64,0,537,6,18,7,0,31,568,
6,Emanuel,Canoochee,681,239,131,32,0,402,27,39,22,0,88,490,
7,Emanuel,Garfield,489,198,76,23,0,297,26,20,23,0,69,366,
8,Emanuel,Nunez,384,124,79,18,0,221,20,16,8,0,44,265,
9,Emanuel,Twin City,1551,292,355,84,0,731,125,148,102,0,375,1106,
10,Emanuel,Adrian,827,236,162,90,0,488,28,18,20,1,67,555,
