index,County,Precinct,Registered Voters,Dawn Braddy (Rep)_Election Day Votes,Dawn Braddy (Rep)_Advanced Voting Votes,Dawn Braddy (Rep)_Absentee by Mail Votes,Dawn Braddy (Rep)_Provisional Votes,Dawn Braddy (Rep)_Choice Total,Regina Jones (Dem)_Election Day Votes,Regina Jones (Dem)_Advanced Voting Votes,Regina Jones (Dem)_Absentee by Mail Votes,Regina Jones (Dem)_Provisional Votes,Regina Jones (Dem)_Choice Total,Total,
0,Emanuel,Oak Park,686,256,144,40,0,440,19,12,11,0,42,482,
1,Emanuel,Cross-Green,241,28,32,3,0,63,67,21,31,0,119,182,
2,Emanuel,Swainsboro,6988,584,1643,487,1,2715,462,872,499,0,1833,4548,
3,Emanuel,Summertown,504,149,95,33,0,277,27,31,31,0,89,366,
4,Emanuel,Stillmore,608,135,91,27,0,253,68,42,20,0,130,383,
5,Emanuel,Blundale,756,222,247,67,0,536,12,19,4,0,35,571,
6,Emanuel,Canoochee,681,230,129,30,0,389,40,45,28,0,113,502,
7,Emanuel,Garfield,489,200,74,24,0,298,28,21,22,0,71,369,
8,Emanuel,Nunez,384,121,80,21,0,222,27,16,6,0,49,271,
9,Emanuel,Twin City,1551,280,354,79,0,713,142,157,106,0,405,1118,
10,Emanuel,Adrian,827,232,154,89,0,475,35,26,20,1,82,557,
