index,County,Precinct,Registered Voters,Max Burns (Rep)_Election Day Votes,Max Burns (Rep)_Advanced Voting Votes,Max Burns (Rep)_Absentee by Mail Votes,Max Burns (Rep)_Provisional Votes,Max Burns (Rep)_Choice Total,Ceretta Smith (Dem)_Election Day Votes,Ceretta Smith (Dem)_Advanced Voting Votes,Ceretta Smith (Dem)_Absentee by Mail Votes,Ceretta Smith (Dem)_Provisional Votes,Ceretta Smith (Dem)_Choice Total,Total,
0,Emanuel,Cross-Green,241,28,34,3,0,65,60,18,30,0,108,173,
1,Emanuel,Summertown,504,143,100,34,0,277,24,24,29,0,77,354,
2,Emanuel,Blundale,756,227,245,67,0,539,5,16,4,0,25,564,
3,Emanuel,Canoochee,681,233,131,31,0,395,28,40,23,0,91,486,
4,Emanuel,Garfield,489,202,78,24,0,304,26,19,22,0,67,371,
5,Emanuel,Twin City,1551,290,353,78,0,721,124,148,107,0,379,1100,
