index,County,Precinct,Registered Voters,Billy Hickman (I) (Rep)_Election Day Votes,Billy Hickman (I) (Rep)_Advanced Voting Votes,Billy Hickman (I) (Rep)_Absentee by Mail Votes,Billy Hickman (I) (Rep)_Provisional Votes,Billy Hickman (I) (Rep)_Choice Total,Total,
0,Emanuel,Oak Park,686,258,145,44,0,447,447,
1,Emanuel,Swainsboro,6988,819,1960,644,1,3424,3424,
2,Emanuel,Stillmore,608,162,106,31,0,299,299,
3,Emanuel,Nunez,384,130,83,21,0,234,234,
4,Emanuel,Adrian,827,241,166,86,0,493,493,
