index,County,Precinct,Registered Voters,W. Jeffrey Peebles (I) (Rep)_Election Day Votes,W. Jeffrey Peebles (I) (Rep)_Advanced Voting Votes,W. Jeffrey Peebles (I) (Rep)_Absentee by Mail Votes,W. Jeffrey Peebles (I) (Rep)_Provisional Votes,W. Jeffrey Peebles (I) (Rep)_Choice Total,Total,
0,Emanuel,Oak Park,686,258,150,47,0,455,455,
1,Emanuel,Cross-Green,241,54,44,21,0,119,119,
2,Emanuel,Swainsboro,6988,875,2106,735,1,3717,3717,
3,Emanuel,Summertown,504,164,111,45,0,320,320,
4,Emanuel,Stillmore,608,178,110,32,0,320,320,
5,Emanuel,Blundale,756,228,256,68,0,552,552,
6,Emanuel,Canoochee,681,253,152,43,0,448,448,
7,Emanuel,Garfield,489,211,84,35,0,330,330,
8,Emanuel,Nunez,384,130,88,24,0,242,242,
9,Emanuel,Twin City,1551,370,433,146,0,949,949,
10,Emanuel,Adrian,827,248,171,95,0,514,514,
