index,County,Precinct,Registered Voters,Hugh Foskey (I) (Rep)_Election Day Votes,Hugh Foskey (I) (Rep)_Advanced Voting Votes,Hugh Foskey (I) (Rep)_Absentee by Mail Votes,Hugh Foskey (I) (Rep)_Provisional Votes,Hugh Foskey (I) (Rep)_Choice Total,Total,
0,Emanuel,Oak Park,686,13,11,3,0,27,27,
1,Emanuel,Swainsboro,6988,180,512,161,1,854,854,
2,Emanuel,Blundale,756,3,1,1,0,5,5,
3,Emanuel,Nunez,384,124,80,22,0,226,226,
4,Emanuel,Adrian,827,243,167,92,0,502,502,
