index,County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
0,Sumter,Agri-Center,2059,129,578,83,0,790,93,332,215,1,641,1431,
1,Sumter,Airport,1767,116,437,97,0,650,97,394,203,0,694,1344,
2,Sumter,Andersonville,434,145,77,19,1,242,46,35,31,0,112,354,
3,Sumter,Browns Mill,929,131,255,45,1,432,48,120,78,0,246,678,
4,Sumter,Concord,376,141,72,20,7,240,15,29,13,1,58,298,
5,Sumter,GSW Conf Center,3044,115,683,185,0,983,156,610,322,2,1090,2073,
6,Sumter,Leslie,1687,272,381,80,0,733,116,180,139,2,437,1170,
7,Sumter,Plains,1061,130,177,43,1,351,137,158,126,0,421,772,
8,Sumter,Rec Dept,2667,42,157,50,0,249,262,723,489,1,1475,1724,
9,Sumter,Reese Park,3064,49,201,83,0,333,251,696,434,0,1381,1714,
10,Sumter,Thompson,712,92,81,29,0,202,73,96,65,1,235,437,
