index,County,Precinct,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,
0,Sumter,Airport,1767,132,481,121,0,734,78,340,174,0,592,1326,
1,Sumter,Andersonville,434,162,81,22,1,266,28,29,28,0,85,351,
2,Sumter,Browns Mill,929,131,268,48,0,447,42,97,74,0,213,660,
3,Sumter,Leslie,1687,280,394,85,0,759,99,152,129,2,382,1141,
4,Sumter,Reese Park,3064,6,3,1,0,10,44,111,112,0,267,277,
