index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Sumter,Agri-Center,2059,149,618,95,0,862,73,299,204,1,577,4,8,2,0,14,1453,
1,Sumter,Airport,1767,130,486,112,0,728,85,343,186,0,614,0,4,2,0,6,1348,
2,Sumter,Andersonville,434,162,82,23,1,268,28,31,28,0,87,4,2,0,0,6,361,
3,Sumter,Browns Mill,929,138,276,50,1,465,44,101,74,0,219,0,2,0,0,2,686,
4,Sumter,Concord,376,148,79,24,9,260,10,22,9,0,41,0,0,0,0,0,301,
5,Sumter,GSW Conf Center,3044,134,736,221,0,1091,133,558,282,2,975,6,15,5,0,26,2092,
6,Sumter,Leslie,1687,298,395,76,1,770,98,172,145,1,416,2,3,4,0,9,1195,
7,Sumter,Plains,1061,143,200,53,1,397,126,136,117,0,379,2,3,0,0,5,781,
8,Sumter,Rec Dept,2667,56,178,62,0,296,245,710,481,1,1437,2,8,4,0,14,1747,
9,Sumter,Reese Park,3064,63,222,83,0,368,234,686,437,0,1357,3,8,1,0,12,1737,
10,Sumter,Thompson,712,103,86,38,0,227,63,92,60,1,216,3,3,0,0,6,449,
