index,County,Precinct,Registered Voters,Rick H. Barnes_Election Day Votes,Rick H. Barnes_Advanced Voting Votes,Rick H. Barnes_Absentee by Mail Votes,Rick H. Barnes_Provisional Votes,Rick H. Barnes_Choice Total,Curtis Porter_Election Day Votes,Curtis Porter_Advanced Voting Votes,Curtis Porter_Absentee by Mail Votes,Curtis Porter_Provisional Votes,Curtis Porter_Choice Total,Brooks Robinson_Election Day Votes,Brooks Robinson_Advanced Voting Votes,Brooks Robinson_Absentee by Mail Votes,Brooks Robinson_Provisional Votes,Brooks Robinson_Choice Total,Total,
0,Sumter,Agri-Center,2059,1,3,0,0,4,1,0,0,0,1,0,4,1,0,5,10,
1,Sumter,Andersonville,434,125,68,25,0,218,19,12,10,0,41,27,20,12,1,60,319,
2,Sumter,Browns Mill,929,115,227,51,0,393,33,53,40,0,126,14,61,26,0,101,620,
3,Sumter,Leslie,1687,247,353,75,0,675,72,83,68,2,225,47,85,71,0,203,1103,
4,Sumter,Thompson,712,1,9,1,0,11,0,2,0,0,2,0,1,0,0,1,14,
