index,County,Precinct,Registered Voters,Abbis Y. Bivins_Election Day Votes,Abbis Y. Bivins_Advanced Voting Votes,Abbis Y. Bivins_Absentee by Mail Votes,Abbis Y. Bivins_Provisional Votes,Abbis Y. Bivins_Choice Total,Alice Green_Election Day Votes,Alice Green_Advanced Voting Votes,Alice Green_Absentee by Mail Votes,Alice Green_Provisional Votes,Alice Green_Choice Total,Total,
0,Sumter,Agri-Center,2059,0,3,0,0,3,1,5,5,1,12,15,
1,Sumter,Airport,1767,37,156,72,0,265,64,193,84,0,341,606,
2,Sumter,Reese Park,3064,96,336,159,0,591,82,267,152,0,501,1092,
