index,County,Precinct,Registered Voters,William Reid (Rep)_Election Day Votes,William Reid (Rep)_Advanced Voting Votes,William Reid (Rep)_Absentee by Mail Votes,William Reid (Rep)_Provisional Votes,William Reid (Rep)_Choice Total,Kenneth E. Hamilton (Dem)_Election Day Votes,Kenneth E. Hamilton (Dem)_Advanced Voting Votes,Kenneth E. Hamilton (Dem)_Absentee by Mail Votes,Kenneth E. Hamilton (Dem)_Provisional Votes,Kenneth E. Hamilton (Dem)_Choice Total,Total,
0,Sumter,Agri-Center,2059,73,241,34,0,348,25,74,57,0,156,504,
1,Sumter,Airport,1767,20,121,30,0,171,1,13,1,0,15,186,
2,Sumter,Concord,376,148,77,24,9,258,8,24,9,0,41,299,
3,Sumter,GSW Conf Center,3044,7,52,10,0,69,31,123,78,1,233,302,
4,Sumter,Leslie,1687,22,31,4,0,57,10,17,3,2,32,89,
5,Sumter,Plains,1061,145,197,53,1,396,121,136,114,0,371,767,
6,Sumter,Thompson,712,98,85,37,0,220,66,92,58,0,216,436,
