index,County,Precinct,Registered Voters,Bill Yearta (I) (Rep)_Election Day Votes,Bill Yearta (I) (Rep)_Advanced Voting Votes,Bill Yearta (I) (Rep)_Absentee by Mail Votes,Bill Yearta (I) (Rep)_Provisional Votes,Bill Yearta (I) (Rep)_Choice Total,Total,
0,Sumter,Leslie,1687,329,458,114,1,902,902,
1,Sumter,Thompson,712,125,124,55,0,304,304,
