index,County,Precinct,Registered Voters,Mike Cheokas (I) (Rep)_Election Day Votes,Mike Cheokas (I) (Rep)_Advanced Voting Votes,Mike Cheokas (I) (Rep)_Absentee by Mail Votes,Mike Cheokas (I) (Rep)_Provisional Votes,Mike Cheokas (I) (Rep)_Choice Total,Marc Arnett (Dem)_Election Day Votes,Marc Arnett (Dem)_Advanced Voting Votes,Marc Arnett (Dem)_Absentee by Mail Votes,Marc Arnett (Dem)_Provisional Votes,Marc Arnett (Dem)_Choice Total,Total,
0,Sumter,Agri-Center,2059,142,592,91,0,825,79,320,205,1,605,1430,
1,Sumter,Airport,1767,124,483,118,0,725,88,351,177,0,616,1341,
2,Sumter,Andersonville,434,154,82,22,1,259,40,31,28,0,99,358,
3,Sumter,Browns Mill,929,133,265,46,1,445,48,110,76,0,234,679,
4,Sumter,Concord,376,148,79,23,9,259,8,22,10,0,40,299,
5,Sumter,GSW Conf Center,3044,119,720,219,0,1058,155,577,282,2,1016,2074,
6,Sumter,Plains,1061,139,190,48,1,378,127,144,119,0,390,768,
7,Sumter,Rec Dept,2667,44,187,61,0,292,258,699,481,1,1439,1731,
8,Sumter,Reese Park,3064,57,216,85,0,358,243,689,433,0,1365,1723,
