index,County,Precinct,Registered Voters,Lia Abney_Election Day Votes,Lia Abney_Advanced Voting Votes,Lia Abney_Absentee by Mail Votes,Lia Abney_Provisional Votes,Lia Abney_Choice Total,Wayne Frazier (I)_Election Day Votes,Wayne Frazier (I)_Advanced Voting Votes,Wayne Frazier (I)_Absentee by Mail Votes,Wayne Frazier (I)_Provisional Votes,Wayne Frazier (I)_Choice Total,JaVonne Jones_Election Day Votes,JaVonne Jones_Advanced Voting Votes,JaVonne Jones_Absentee by Mail Votes,JaVonne Jones_Provisional Votes,JaVonne Jones_Choice Total,Total,
0,Richmond,401,2093,35,72,45,0,152,121,350,266,0,737,94,288,186,0,568,1457,
1,Richmond,402,3311,62,66,53,0,181,271,340,303,0,914,138,161,199,2,500,1595,
2,Richmond,404,1748,36,36,50,1,123,132,273,210,1,616,87,177,117,1,382,1121,
3,Richmond,405,4424,40,119,108,1,268,178,771,643,0,1592,149,614,398,2,1163,3023,
4,Richmond,406,3221,34,95,76,0,205,203,493,455,0,1151,123,460,291,1,875,2231,
