index,County,Precinct,Registered Voters,Sheila Clark Nelson (I) (Dem)_Election Day Votes,Sheila Clark Nelson (I) (Dem)_Advanced Voting Votes,Sheila Clark Nelson (I) (Dem)_Absentee by Mail Votes,Sheila Clark Nelson (I) (Dem)_Provisional Votes,Sheila Clark Nelson (I) (Dem)_Choice Total,Total,
0,Richmond,104,2976,433,541,559,3,1536,1536,
1,Richmond,109,1052,114,255,181,0,550,550,
2,Richmond,114,856,119,141,144,1,405,405,
3,Richmond,115,1332,62,66,70,0,198,198,
4,Richmond,202,4492,615,855,622,3,2095,2095,
5,Richmond,501,3549,404,768,781,1,1954,1954,
6,Richmond,506,416,49,90,45,2,186,186,
7,Richmond,601,3988,410,914,596,5,1925,1925,
8,Richmond,603,3570,477,648,490,1,1616,1616,
9,Richmond,604,1811,272,350,267,0,889,889,
10,Richmond,605,3880,449,788,634,0,1871,1871,
11,Richmond,608,1472,206,295,200,0,701,701,
12,Richmond,802,3251,547,454,407,2,1410,1410,
13,Richmond,805,798,98,227,128,1,454,454,
14,Richmond,806,1212,184,241,156,0,581,581,
15,Richmond,808,2366,339,576,379,1,1295,1295,
