index,County,Precinct,Registered Voters,"Harold V. Jones, II (I) (Dem)_Election Day Votes","Harold V. Jones, II (I) (Dem)_Advanced Voting Votes","Harold V. Jones, II (I) (Dem)_Absentee by Mail Votes","Harold V. Jones, II (I) (Dem)_Provisional Votes","Harold V. Jones, II (I) (Dem)_Choice Total",Total,
0,Richmond,101,896,129,208,150,0,487,487,
1,Richmond,102,1278,150,188,195,3,536,536,
2,Richmond,103,1428,159,290,275,2,726,726,
3,Richmond,104,2976,440,544,559,5,1548,1548,
4,Richmond,105,832,112,221,167,1,501,501,
5,Richmond,106,1182,160,130,135,2,427,427,
6,Richmond,107,1800,220,375,330,1,926,926,
7,Richmond,108,517,71,112,116,0,299,299,
8,Richmond,109,1052,116,269,180,1,566,566,
9,Richmond,111,1578,200,282,291,1,774,774,
10,Richmond,112,882,56,157,187,2,402,402,
11,Richmond,114,856,117,142,141,1,401,401,
12,Richmond,201,581,240,266,226,4,736,736,
13,Richmond,115,1332,65,70,68,0,203,203,
14,Richmond,202,4492,614,852,625,7,2098,2098,
15,Richmond,203,991,137,161,189,3,490,490,
16,Richmond,204,1578,214,349,237,3,803,803,
17,Richmond,207,2705,348,437,413,8,1206,1206,
18,Richmond,208,2651,341,523,418,2,1284,1284,
19,Richmond,210,1507,168,351,365,4,888,888,
20,Richmond,301,2409,309,608,437,0,1354,1354,
21,Richmond,302,1032,151,243,137,0,531,531,
22,Richmond,303,1417,119,386,236,1,742,742,
23,Richmond,304,365,47,84,66,0,197,197,
24,Richmond,305,428,38,122,87,0,247,247,
25,Richmond,306,3934,402,1013,674,3,2092,2092,
26,Richmond,307,1642,163,379,297,0,839,839,
27,Richmond,309,3340,347,1144,768,3,2262,2262,
28,Richmond,310,5163,525,1538,1024,3,3090,3090,
29,Richmond,401,2093,246,719,499,0,1464,1464,
30,Richmond,402,3311,467,567,536,4,1574,1574,
31,Richmond,404,1748,249,475,366,4,1094,1094,
32,Richmond,405,4424,360,1490,1131,4,2985,2985,
33,Richmond,406,3221,351,1021,803,4,2179,2179,
34,Richmond,501,3549,405,762,786,3,1956,1956,
35,Richmond,502,4138,504,991,894,7,2396,2396,
36,Richmond,503,4021,415,960,805,5,2185,2185,
37,Richmond,504,2339,321,421,321,2,1065,1065,
38,Richmond,506,416,49,88,44,2,183,183,
39,Richmond,507,968,160,240,147,1,548,548,
40,Richmond,509,2172,231,636,455,4,1326,1326,
41,Richmond,601,3988,409,915,592,15,1931,1931,
42,Richmond,603,3570,490,663,503,2,1658,1658,
43,Richmond,604,1811,264,340,260,0,864,864,
44,Richmond,605,3880,441,783,636,2,1862,1862,
45,Richmond,607,1812,200,546,416,2,1164,1164,
46,Richmond,701,2403,270,559,411,2,1242,1242,
47,Richmond,702,1943,261,437,253,0,951,951,
48,Richmond,703,4644,532,1063,601,4,2200,2200,
49,Richmond,801,523,99,48,69,1,217,217,
50,Richmond,801B,523,128,35,61,0,224,224,
51,Richmond,803,252,29,38,29,1,97,97,
52,Richmond,804,2096,258,513,308,0,1079,1079,
53,Richmond,805,798,99,222,128,1,450,450,
54,Richmond,807,1578,174,367,273,1,815,815,
55,Richmond,809,879,83,320,197,2,602,602,
