index,County,Precinct,Registered Voters,Brian L. Prince (I) (Dem)_Election Day Votes,Brian L. Prince (I) (Dem)_Advanced Voting Votes,Brian L. Prince (I) (Dem)_Absentee by Mail Votes,Brian L. Prince (I) (Dem)_Provisional Votes,Brian L. Prince (I) (Dem)_Choice Total,Total,
0,Richmond,306,3934,404,1003,684,2,2093,2093,
1,Richmond,309,3340,343,1156,773,2,2274,2274,
2,Richmond,310,5163,532,1546,1029,3,3110,3110,
3,Richmond,402,3311,470,565,546,2,1583,1583,
4,Richmond,502,4138,511,994,887,4,2396,2396,
5,Richmond,503,4021,424,968,814,3,2209,2209,
6,Richmond,801,523,94,48,70,0,212,212,
7,Richmond,801B,523,122,34,61,0,217,217,
8,Richmond,803,252,31,38,29,1,99,99,
