index,County,Precinct,Registered Voters,Douglas Jackson_Election Day Votes,Douglas Jackson_Advanced Voting Votes,Douglas Jackson_Absentee by Mail Votes,Douglas Jackson_Provisional Votes,Douglas Jackson_Choice Total,Samantha R. Moses_Election Day Votes,Samantha R. Moses_Advanced Voting Votes,Samantha R. Moses_Absentee by Mail Votes,Samantha R. Moses_Provisional Votes,Samantha R. Moses_Choice Total,Patsy Scott (I)_Election Day Votes,Patsy Scott (I)_Advanced Voting Votes,Patsy Scott (I)_Absentee by Mail Votes,Patsy Scott (I)_Provisional Votes,Patsy Scott (I)_Choice Total,Total,
0,Richmond,501,3549,96,175,132,0,403,139,205,181,1,526,166,393,486,0,1045,1974,
1,Richmond,502,4138,118,196,113,0,427,149,283,233,1,666,239,509,542,2,1292,2385,
2,Richmond,503,4021,91,190,91,1,373,125,211,137,1,474,214,591,605,2,1412,2259,
3,Richmond,504,2339,98,91,59,0,248,95,128,81,0,304,146,213,186,1,546,1098,
4,Richmond,506,416,15,18,6,0,39,18,31,14,1,64,15,48,27,0,90,193,
5,Richmond,507,968,46,54,26,0,126,50,77,34,0,161,72,114,91,1,278,565,
6,Richmond,509,2172,81,127,48,1,257,75,197,106,1,379,86,319,299,1,705,1341,
