index,County,Precinct,Registered Voters,Hattie Holmes Sullivan (I) (Dem)_Election Day Votes,Hattie Holmes Sullivan (I) (Dem)_Advanced Voting Votes,Hattie Holmes Sullivan (I) (Dem)_Absentee by Mail Votes,Hattie Holmes Sullivan (I) (Dem)_Provisional Votes,Hattie Holmes Sullivan (I) (Dem)_Choice Total,Total,
0,Richmond,101,896,132,202,154,3,491,491,
1,Richmond,102,1278,153,189,199,3,544,544,
2,Richmond,103,1428,158,286,273,2,719,719,
3,Richmond,104,2976,428,533,563,4,1528,1528,
4,Richmond,105,832,113,217,169,1,500,500,
5,Richmond,106,1182,159,128,137,1,425,425,
6,Richmond,107,1800,219,379,330,1,929,929,
7,Richmond,108,517,71,108,118,0,297,297,
8,Richmond,109,1052,117,257,178,1,553,553,
9,Richmond,111,1578,194,276,291,1,762,762,
10,Richmond,112,882,57,156,191,2,406,406,
11,Richmond,114,856,113,140,145,1,399,399,
12,Richmond,201,581,233,264,229,4,730,730,
13,Richmond,115,1332,64,70,70,0,204,204,
14,Richmond,202,4492,611,853,626,7,2097,2097,
15,Richmond,203,991,137,164,196,2,499,499,
16,Richmond,204,1578,219,339,239,3,800,800,
17,Richmond,207,2705,343,437,417,8,1205,1205,
18,Richmond,208,2651,342,521,418,4,1285,1285,
19,Richmond,210,1507,165,343,362,4,874,874,
20,Richmond,301,2409,310,611,411,1,1333,1333,
21,Richmond,302,1032,155,241,133,0,529,529,
22,Richmond,303,1417,123,401,225,1,750,750,
23,Richmond,304,365,51,83,63,0,197,197,
24,Richmond,305,428,39,129,89,0,257,257,
25,Richmond,306,3934,406,1004,671,3,2084,2084,
26,Richmond,307,1642,172,379,295,0,846,846,
27,Richmond,308,622,69,145,92,1,307,307,
28,Richmond,309,3340,341,1148,778,3,2270,2270,
29,Richmond,310,5163,526,1534,1029,3,3092,3092,
30,Richmond,401,2093,242,720,499,0,1461,1461,
31,Richmond,402,3311,456,557,551,4,1568,1568,
32,Richmond,404,1748,247,472,368,3,1090,1090,
33,Richmond,405,4424,361,1474,1132,2,2969,2969,
34,Richmond,406,3221,344,1025,815,4,2188,2188,
35,Richmond,501,3549,396,760,779,4,1939,1939,
36,Richmond,502,4138,507,984,893,8,2392,2392,
37,Richmond,503,4021,412,963,798,5,2178,2178,
38,Richmond,504,2339,321,420,331,5,1077,1077,
39,Richmond,506,416,48,88,47,2,185,185,
40,Richmond,507,968,160,239,147,1,547,547,
41,Richmond,509,2172,229,638,463,5,1335,1335,
42,Richmond,601,3988,408,919,602,15,1944,1944,
43,Richmond,603,3570,483,653,501,2,1639,1639,
44,Richmond,604,1811,266,341,270,0,877,877,
45,Richmond,605,3880,440,790,645,1,1876,1876,
46,Richmond,607,1812,201,543,421,1,1166,1166,
47,Richmond,608,1472,210,306,208,1,725,725,
48,Richmond,701,2403,275,558,418,2,1253,1253,
49,Richmond,702,1943,277,438,252,0,967,967,
50,Richmond,703,4644,537,1066,604,6,2213,2213,
51,Richmond,705,2276,242,563,419,1,1225,1225,
52,Richmond,706,3315,279,931,563,2,1775,1775,
53,Richmond,707,2122,312,537,258,2,1109,1109,
54,Richmond,708,305,17,92,35,0,144,144,
55,Richmond,709,576,54,144,112,0,310,310,
56,Richmond,801,523,100,48,72,1,221,221,
57,Richmond,801B,523,123,36,63,0,222,222,
58,Richmond,802,3251,559,462,417,3,1441,1441,
59,Richmond,803,252,30,38,28,1,97,97,
60,Richmond,804,2096,254,512,316,0,1082,1082,
61,Richmond,804H,2863,375,620,458,4,1457,1457,
62,Richmond,805,798,103,225,127,1,456,456,
63,Richmond,806,1212,192,250,158,1,601,601,
64,Richmond,807,1578,176,369,276,1,822,822,
65,Richmond,808,2366,339,582,385,1,1307,1307,
66,Richmond,809,879,82,314,200,2,598,598,
67,Richmond,810,425,40,123,68,0,231,231,
