index,County,Precinct,Registered Voters,Le'Joi Williamson (Dem)_Election Day Votes,Le'Joi Williamson (Dem)_Advanced Voting Votes,Le'Joi Williamson (Dem)_Absentee by Mail Votes,Le'Joi Williamson (Dem)_Provisional Votes,Le'Joi Williamson (Dem)_Choice Total,Total,
0,Richmond,101,896,131,207,149,3,490,490,
1,Richmond,102,1278,150,185,200,3,538,538,
2,Richmond,103,1428,157,293,279,2,731,731,
3,Richmond,104,2976,431,540,568,4,1543,1543,
4,Richmond,105,832,115,222,166,1,504,504,
5,Richmond,106,1182,161,132,139,1,433,433,
6,Richmond,107,1800,222,380,327,1,930,930,
7,Richmond,108,517,73,112,110,0,295,295,
8,Richmond,109,1052,116,256,173,1,546,546,
9,Richmond,111,1578,199,281,294,1,775,775,
10,Richmond,112,882,57,166,187,2,412,412,
11,Richmond,114,856,118,143,148,1,410,410,
12,Richmond,201,581,239,266,227,4,736,736,
13,Richmond,115,1332,64,70,69,0,203,203,
14,Richmond,202,4492,622,869,621,7,2119,2119,
15,Richmond,203,991,137,167,196,1,501,501,
16,Richmond,204,1578,218,339,241,3,801,801,
17,Richmond,207,2705,347,449,418,8,1222,1222,
18,Richmond,208,2651,343,525,416,4,1288,1288,
19,Richmond,210,1507,169,348,364,4,885,885,
20,Richmond,301,2409,305,594,403,2,1304,1304,
21,Richmond,302,1032,157,240,133,0,530,530,
22,Richmond,303,1417,122,373,221,1,717,717,
23,Richmond,304,365,47,86,61,0,194,194,
24,Richmond,305,428,35,125,84,0,244,244,
25,Richmond,306,3934,407,1014,676,3,2100,2100,
26,Richmond,307,1642,162,363,279,0,804,804,
27,Richmond,308,622,72,146,89,1,308,308,
28,Richmond,309,3340,352,1156,776,3,2287,2287,
29,Richmond,310,5163,542,1544,1031,3,3120,3120,
30,Richmond,401,2093,249,721,502,0,1472,1472,
31,Richmond,402,3311,463,570,545,4,1582,1582,
32,Richmond,404,1748,248,477,368,4,1097,1097,
33,Richmond,405,4424,364,1495,1138,3,3000,3000,
34,Richmond,406,3221,351,1026,814,5,2196,2196,
35,Richmond,501,3549,407,762,780,4,1953,1953,
36,Richmond,502,4138,512,996,892,7,2407,2407,
37,Richmond,503,4021,418,972,806,5,2201,2201,
38,Richmond,504,2339,321,421,325,5,1072,1072,
39,Richmond,506,416,49,88,47,2,186,186,
40,Richmond,507,968,161,239,146,1,547,547,
41,Richmond,509,2172,233,640,460,5,1338,1338,
42,Richmond,601,3988,410,917,602,14,1943,1943,
43,Richmond,603,3570,482,662,501,2,1647,1647,
44,Richmond,604,1811,272,346,265,0,883,883,
45,Richmond,605,3880,457,787,637,1,1882,1882,
46,Richmond,607,1812,200,547,423,1,1171,1171,
47,Richmond,608,1472,214,305,208,1,728,728,
48,Richmond,701,2403,281,556,409,2,1248,1248,
49,Richmond,702,1943,273,437,252,0,962,962,
50,Richmond,703,4644,537,1062,602,6,2207,2207,
51,Richmond,705,2276,238,564,415,1,1218,1218,
52,Richmond,706,3315,273,935,560,2,1770,1770,
53,Richmond,707,2122,316,537,260,2,1115,1115,
54,Richmond,708,305,17,93,34,0,144,144,
55,Richmond,709,576,53,143,115,0,311,311,
56,Richmond,801,523,101,48,70,1,220,220,
57,Richmond,801B,523,121,36,64,0,221,221,
58,Richmond,802,3251,570,464,415,2,1451,1451,
59,Richmond,803,252,31,38,29,1,99,99,
60,Richmond,804,2096,256,519,317,0,1092,1092,
61,Richmond,804H,2863,383,619,460,5,1467,1467,
62,Richmond,805,798,101,228,129,1,459,459,
63,Richmond,806,1212,188,252,155,1,596,596,
64,Richmond,807,1578,179,371,277,1,828,828,
65,Richmond,808,2366,349,581,379,1,1310,1310,
66,Richmond,809,879,82,319,198,2,601,601,
67,Richmond,810,425,40,126,68,0,234,234,
