index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Richmond,101,896,124,130,74,1,329,63,139,117,2,321,650,
1,Richmond,102,1278,58,72,41,0,171,124,157,181,3,465,636,
2,Richmond,103,1428,7,17,16,0,40,157,285,272,2,716,756,
3,Richmond,104,2976,34,55,43,0,132,413,507,565,6,1491,1623,
4,Richmond,105,832,13,16,15,0,44,104,213,162,1,480,524,
5,Richmond,106,1182,46,56,32,0,134,134,102,123,2,361,495,
6,Richmond,107,1800,193,289,162,0,644,115,232,275,1,623,1267,
7,Richmond,108,517,17,12,20,0,49,58,106,107,0,271,320,
8,Richmond,109,1052,32,59,40,0,131,97,228,160,1,486,617,
9,Richmond,111,1578,63,90,56,0,209,160,242,259,1,662,871,
10,Richmond,112,882,23,91,99,0,213,41,114,154,2,311,524,
11,Richmond,114,856,24,17,22,0,63,101,132,131,1,365,428,
12,Richmond,201,581,23,10,14,1,48,229,266,218,4,717,765,
13,Richmond,115,1332,45,43,29,0,117,46,42,51,0,139,256,
14,Richmond,202,4492,228,297,231,0,756,475,709,520,8,1712,2468,
15,Richmond,203,991,11,9,10,1,31,127,161,189,2,479,510,
16,Richmond,204,1578,187,223,134,1,545,114,233,184,2,533,1078,
17,Richmond,207,2705,58,63,47,1,169,326,409,400,7,1142,1311,
18,Richmond,208,2651,82,104,72,2,260,298,460,374,2,1134,1394,
19,Richmond,210,1507,42,66,44,1,153,150,305,343,3,801,954,
20,Richmond,301,2409,343,597,310,1,1251,116,281,269,0,666,1917,
21,Richmond,302,1032,29,72,52,0,153,135,200,113,0,448,601,
22,Richmond,303,1417,176,477,210,1,864,26,128,126,0,280,1144,
23,Richmond,304,365,61,70,49,0,180,9,42,41,0,92,272,
24,Richmond,305,428,51,166,93,1,311,5,34,33,0,72,383,
25,Richmond,306,3934,227,398,297,0,922,269,805,545,3,1622,2544,
26,Richmond,307,1642,189,395,206,0,790,59,154,189,0,402,1192,
27,Richmond,308,622,46,68,44,0,158,46,106,72,1,225,383,
28,Richmond,309,3340,89,142,100,1,332,299,1086,722,2,2109,2441,
29,Richmond,310,5163,260,406,199,1,866,387,1337,945,4,2673,3539,
30,Richmond,401,2093,32,61,37,0,130,225,680,473,0,1378,1508,
31,Richmond,402,3311,78,85,56,1,220,413,507,534,3,1457,1677,
32,Richmond,404,1748,47,63,61,1,172,222,444,322,3,991,1163,
33,Richmond,405,4424,60,142,96,0,298,326,1417,1092,5,2840,3138,
34,Richmond,406,3221,61,102,63,1,227,322,977,786,4,2089,2316,
35,Richmond,501,3549,77,105,107,1,290,352,711,742,3,1808,2098,
36,Richmond,502,4138,94,107,72,1,274,451,926,855,7,2239,2513,
37,Richmond,503,4021,102,201,106,1,410,357,870,749,4,1980,2390,
38,Richmond,504,2339,146,107,90,2,345,241,364,279,4,888,1233,
39,Richmond,506,416,12,47,13,0,72,41,69,42,3,155,227,
40,Richmond,507,968,47,70,39,0,156,130,205,132,1,468,624,
41,Richmond,509,2172,57,84,64,1,206,203,599,420,4,1226,1432,
42,Richmond,601,3988,173,269,134,5,581,307,776,526,12,1621,2202,
43,Richmond,603,3570,412,415,272,0,1099,277,451,394,2,1124,2223,
44,Richmond,604,1811,167,85,80,0,332,174,301,221,0,696,1028,
45,Richmond,605,3880,246,330,224,0,800,302,626,521,2,1451,2251,
46,Richmond,607,1812,26,43,35,0,104,184,524,400,1,1109,1213,
47,Richmond,608,1472,248,245,108,0,601,86,171,146,1,404,1005,
48,Richmond,701,2403,324,574,277,1,1176,96,256,285,1,638,1814,
49,Richmond,702,1943,307,419,178,0,904,106,208,174,0,488,1392,
50,Richmond,703,4644,377,615,279,1,1272,335,746,480,6,1567,2839,
51,Richmond,705,2276,222,452,313,2,989,115,311,253,1,680,1669,
52,Richmond,706,3315,265,880,377,0,1522,111,437,369,2,919,2441,
53,Richmond,707,2122,163,250,104,1,518,210,409,211,2,832,1350,
54,Richmond,708,305,22,110,32,1,165,7,42,20,0,69,234,
55,Richmond,709,576,47,109,56,0,212,29,78,84,0,191,403,
56,Richmond,801,523,164,44,38,1,247,36,26,50,0,112,359,
57,Richmond,801B,523,195,33,49,0,277,34,15,36,0,85,362,
58,Richmond,802,3251,712,425,221,4,1362,149,243,304,2,698,2060,
59,Richmond,803,252,9,23,2,0,34,25,25,28,1,79,113,
60,Richmond,804,2096,206,268,111,0,585,135,392,250,0,777,1362,
61,Richmond,804H,2863,381,436,212,0,1029,167,380,326,5,878,1907,
62,Richmond,805,798,62,84,28,0,174,68,183,114,1,366,540,
63,Richmond,806,1212,205,208,89,0,502,70,130,110,1,311,813,
64,Richmond,807,1578,85,111,54,0,250,127,307,242,1,677,927,
65,Richmond,808,2366,306,386,181,0,873,158,361,282,1,802,1675,
66,Richmond,809,879,13,25,14,0,52,75,301,189,2,567,619,
67,Richmond,810,425,57,94,27,0,178,9,69,52,0,130,308,
