index,County,Precinct,Registered Voters,Tammy S. Brown (I) (Rep)_Election Day Votes,Tammy S. Brown (I) (Rep)_Advanced Voting Votes,Tammy S. Brown (I) (Rep)_Absentee by Mail Votes,Tammy S. Brown (I) (Rep)_Provisional Votes,Tammy S. Brown (I) (Rep)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,560,1144,316,0,2020,2020,,
1,Barrow,02 Bethlehem Church - 211,6784,834,2754,838,0,4426,4426,
2,Barrow,03 Hmong New Hope Alliance Church 6364,1000,1915,648,1,3564,3564,,
3,Barrow,04 Covenant Life Sanctuary,4012,516,1313,394,0,2223,2223,
4,Barrow,05 Fire Station 1 (Statham),8336,1100,3087,893,0,5080,5080,
5,Barrow,08 First Baptist Church Winder7009,832,2807,731,0,4370,4370,,
6,Barrow,13 Winder Community Center,9393,903,2967,893,0,4763,4763,
7,Barrow,16 The Church at Winder,10348,1223,3466,1010,2,5701,5701,
