index,County,Precinct,Registered Voters,Bryan W. Bell_Election Day Votes,Bryan W. Bell_Advanced Voting Votes,Bryan W. Bell_Absentee by Mail Votes,Bryan W. Bell_Provisional Votes,Bryan W. Bell_Choice Total,Tambi (Tam) Parten Mull_Election Day Votes,Tambi (Tam) Parten Mull_Advanced Voting Votes,Tambi (Tam) Parten Mull_Absentee by Mail Votes,Tambi (Tam) Parten Mull_Provisional Votes,Tambi (Tam) Parten Mull_Choice Total,Randall Dan Wages_Election Day Votes,Randall Dan Wages_Advanced Voting Votes,Randall Dan Wages_Absentee by Mail Votes,Randall Dan Wages_Provisional Votes,Randall Dan Wages_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,40,50,24,0,114,20,37,15,0,72,17,46,24,0,87,273,,
1,Barrow,16 The Church at Winder,10348,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,
