index,County,Precinct,Registered Voters,Janie Jones (Rep)_Election Day Votes,Janie Jones (Rep)_Advanced Voting Votes,Janie Jones (Rep)_Absentee by Mail Votes,Janie Jones (Rep)_Provisional Votes,Janie Jones (Rep)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,554,1132,319,0,2005,2005,,
1,Barrow,02 Bethlehem Church - 211,6784,838,2749,837,0,4424,4424,
2,Barrow,03 Hmong New Hope Alliance Church 6364,999,1913,647,1,3560,3560,,
3,Barrow,04 Covenant Life Sanctuary,4012,519,1314,391,0,2224,2224,
4,Barrow,05 Fire Station 1 (Statham),8336,1099,3092,894,0,5085,5085,
5,Barrow,08 First Baptist Church Winder7009,829,2793,733,0,4355,4355,,
6,Barrow,13 Winder Community Center,9393,920,2958,904,0,4782,4782,
7,Barrow,16 The Church at Winder,10348,1221,3445,1010,2,5678,5678,
