index,County,Precinct,Registered Voters,Frank Ginn (I) (Rep)_Election Day Votes,Frank Ginn (I) (Rep)_Advanced Voting Votes,Frank Ginn (I) (Rep)_Absentee by Mail Votes,Frank Ginn (I) (Rep)_Provisional Votes,Frank Ginn (I) (Rep)_Choice Total,Dawn Johnson (Dem)_Election Day Votes,Dawn Johnson (Dem)_Advanced Voting Votes,Dawn Johnson (Dem)_Absentee by Mail Votes,Dawn Johnson (Dem)_Provisional Votes,Dawn Johnson (Dem)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,483,999,242,0,1724,109,257,162,0,528,2252,,
1,Barrow,02 Bethlehem Church - 211,6784,744,2549,710,0,4003,135,396,355,1,887,4890,
2,Barrow,03 Hmong New Hope Alliance Church 6364,883,1701,499,1,3084,182,399,322,0,903,3987,,
3,Barrow,04 Covenant Life Sanctuary,4012,436,1162,283,0,1881,113,286,204,0,603,2484,
4,Barrow,05 Fire Station 1 (Statham),8336,936,2641,646,0,4223,255,798,595,0,1648,5871,
5,Barrow,08 First Baptist Church Winder7009,715,2515,563,0,3793,165,529,353,0,1047,4840,,
6,Barrow,13 Winder Community Center,9393,684,2384,614,0,3682,339,1029,582,0,1950,5632,
7,Barrow,16 The Church at Winder,10348,969,2781,652,2,4404,394,1237,793,2,2426,6830,
