index,County,Precinct,Registered Voters,Terry England (I) (Rep)_Election Day Votes,Terry England (I) (Rep)_Advanced Voting Votes,Terry England (I) (Rep)_Absentee by Mail Votes,Terry England (I) (Rep)_Provisional Votes,Terry England (I) (Rep)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,461,945,256,0,1662,1662,,
1,Barrow,02 Bethlehem Church - 211,6784,836,2749,853,0,4438,4438,
2,Barrow,03 Hmong New Hope Alliance Church 6364,999,1913,663,1,3576,3576,,
3,Barrow,04 Covenant Life Sanctuary,4012,518,1306,385,0,2209,2209,
4,Barrow,05 Fire Station 1 (Statham),8336,654,1983,609,0,3246,3246,
5,Barrow,08 First Baptist Church Winder7009,654,2296,594,0,3544,3544,,
6,Barrow,13 Winder Community Center,9393,904,2954,878,0,4736,4736,
7,Barrow,16 The Church at Winder,10348,186,598,181,0,965,965,
