index,County,Precinct,Registered Voters,Pat Graham (I) (Rep)_Election Day Votes,Pat Graham (I) (Rep)_Advanced Voting Votes,Pat Graham (I) (Rep)_Absentee by Mail Votes,Pat Graham (I) (Rep)_Provisional Votes,Pat Graham (I) (Rep)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,547,1128,314,0,1989,1989,,
1,Barrow,02 Bethlehem Church - 211,6784,822,2723,829,0,4374,4374,
2,Barrow,03 Hmong New Hope Alliance Church 6364,996,1901,646,1,3544,3544,,
3,Barrow,04 Covenant Life Sanctuary,4012,517,1294,388,0,2199,2199,
4,Barrow,05 Fire Station 1 (Statham),8336,1086,3051,882,0,5019,5019,
5,Barrow,08 First Baptist Church Winder7009,823,2768,722,0,4313,4313,,
6,Barrow,13 Winder Community Center,9393,887,2899,879,0,4665,4665,
7,Barrow,16 The Church at Winder,10348,1212,3431,1008,2,5653,5653,
