index,County,Precinct,Registered Voters,Jud Smith (I) (Rep)_Election Day Votes,Jud Smith (I) (Rep)_Advanced Voting Votes,Jud Smith (I) (Rep)_Absentee by Mail Votes,Jud Smith (I) (Rep)_Provisional Votes,Jud Smith (I) (Rep)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,559,1150,329,0,2038,2038,,
1,Barrow,02 Bethlehem Church - 211,6784,844,2750,848,0,4442,4442,
2,Barrow,03 Hmong New Hope Alliance Church 6364,1004,1926,653,1,3584,3584,,
3,Barrow,04 Covenant Life Sanctuary,4012,519,1326,399,0,2244,2244,
4,Barrow,05 Fire Station 1 (Statham),8336,1105,3114,917,0,5136,5136,
5,Barrow,08 First Baptist Church Winder7009,831,2825,748,0,4404,4404,,
6,Barrow,13 Winder Community Center,9393,928,3020,918,0,4866,4866,
7,Barrow,16 The Church at Winder,10348,1239,3490,1030,2,5761,5761,
