index,County,Precinct,Registered Voters,Tom Kirby (I) (Rep)_Election Day Votes,Tom Kirby (I) (Rep)_Advanced Voting Votes,Tom Kirby (I) (Rep)_Absentee by Mail Votes,Tom Kirby (I) (Rep)_Provisional Votes,Tom Kirby (I) (Rep)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,95,196,61,0,352,352,,
1,Barrow,16 The Church at Winder,10348,1027,2834,804,2,4667,4667,
