index,County,Precinct,Registered Voters,Jordan Raper (I) (Rep)_Election Day Votes,Jordan Raper (I) (Rep)_Advanced Voting Votes,Jordan Raper (I) (Rep)_Absentee by Mail Votes,Jordan Raper (I) (Rep)_Provisional Votes,Jordan Raper (I) (Rep)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,546,1126,318,0,1990,1990,,
1,Barrow,02 Bethlehem Church - 211,6784,824,2734,826,0,4384,4384,
2,Barrow,03 Hmong New Hope Alliance Church 6364,998,1904,642,1,3545,3545,,
3,Barrow,04 Covenant Life Sanctuary,4012,517,1300,386,0,2203,2203,
4,Barrow,05 Fire Station 1 (Statham),8336,1088,3057,874,0,5019,5019,
5,Barrow,08 First Baptist Church Winder7009,823,2760,702,0,4285,4285,,
6,Barrow,13 Winder Community Center,9393,899,2922,861,0,4682,4682,
7,Barrow,16 The Church at Winder,10348,1209,3441,998,2,5650,5650,
