index,County,Precinct,Registered Voters,Houston Gaines (I) (Rep)_Election Day Votes,Houston Gaines (I) (Rep)_Advanced Voting Votes,Houston Gaines (I) (Rep)_Absentee by Mail Votes,Houston Gaines (I) (Rep)_Provisional Votes,Houston Gaines (I) (Rep)_Choice Total,"""""Mokah"""" Jasmine Johnson (Dem)_Election Day Votes","""""Mokah"""" Jasmine Johnson (Dem)_Advanced Voting Votes","""""Mokah"""" Jasmine Johnson (Dem)_Absentee by Mail Votes","""""Mokah"""" Jasmine Johnson (Dem)_Provisional Votes","""""Mokah"""" Jasmine Johnson (Dem)_Choice Total",Total,
0,Barrow,05 Fire Station 1 (Statham),8336,395,940,195,0,1530,94,334,206,0,634,2164,
1,Barrow,08 First Baptist Church Winder7009,161,453,99,0,713,33,88,59,0,180,893,,
