index,County,Precinct,Registered Voters,Kenneth Cooper (Rep)_Election Day Votes,Kenneth Cooper (Rep)_Advanced Voting Votes,Kenneth Cooper (Rep)_Absentee by Mail Votes,Kenneth Cooper (Rep)_Provisional Votes,Kenneth Cooper (Rep)_Choice Total,Total,
0,Barrow,01 Bethlehem Community Center 3359,556,1146,321,0,2023,2023,,
1,Barrow,02 Bethlehem Church - 211,6784,833,2756,839,0,4428,4428,
2,Barrow,03 Hmong New Hope Alliance Church 6364,1003,1916,650,1,3570,3570,,
3,Barrow,04 Covenant Life Sanctuary,4012,523,1327,394,0,2244,2244,
4,Barrow,05 Fire Station 1 (Statham),8336,1094,3121,916,0,5131,5131,
5,Barrow,08 First Baptist Church Winder7009,830,2810,728,0,4368,4368,,
6,Barrow,13 Winder Community Center,9393,920,3014,911,0,4845,4845,
7,Barrow,16 The Church at Winder,10348,1231,3497,1020,2,5750,5750,
