index,County,Precinct,Registered Voters,Kathy D. Page (I) (Rep)_Election Day Votes,Kathy D. Page (I) (Rep)_Advanced Voting Votes,Kathy D. Page (I) (Rep)_Absentee by Mail Votes,Kathy D. Page (I) (Rep)_Provisional Votes,Kathy D. Page (I) (Rep)_Choice Total,Total,
0,Dade,South Dade,969,198,320,65,0,583,583,
1,Dade,New Salem,1255,301,372,124,0,797,797,
2,Dade,Davis,2012,425,692,96,1,1214,1214,
3,Dade,New Home,711,216,155,56,0,427,427,
4,Dade,West Brow,1237,316,316,107,0,739,739,
5,Dade,Trenton,3573,338,1136,208,3,1685,1685,
6,Dade,North Dade,1903,305,615,128,1,1049,1049,
