index,County,Precinct,Registered Voters,Robert Goff (I) (Rep)_Election Day Votes,Robert Goff (I) (Rep)_Advanced Voting Votes,Robert Goff (I) (Rep)_Absentee by Mail Votes,Robert Goff (I) (Rep)_Provisional Votes,Robert Goff (I) (Rep)_Choice Total,Total,
0,Dade,South Dade,969,189,299,66,0,554,554,
1,Dade,New Salem,1255,279,363,116,0,758,758,
2,Dade,Davis,2012,404,648,90,1,1143,1143,
3,Dade,New Home,711,206,144,56,0,406,406,
4,Dade,West Brow,1237,308,306,101,0,715,715,
5,Dade,Trenton,3573,319,1057,192,3,1571,1571,
6,Dade,North Dade,1903,291,575,118,1,985,985,
