index,County,Precinct,Registered Voters,Chris A. Arnt (Rep)_Election Day Votes,Chris A. Arnt (Rep)_Advanced Voting Votes,Chris A. Arnt (Rep)_Absentee by Mail Votes,Chris A. Arnt (Rep)_Provisional Votes,Chris A. Arnt (Rep)_Choice Total,Total,
0,Chattooga,Coldwater,248,30,85,26,0,141,141,
1,Chattooga,Dirtseller,186,47,59,9,0,115,115,
2,Chattooga,Haywood,169,78,23,6,1,108,108,
3,Chattooga,Lyerly,934,232,286,70,2,590,590,
4,Chattooga,Trion,3496,611,1221,325,1,2158,2158,
5,Chattooga,Summerville,5155,626,1827,515,1,2969,2969,
6,Chattooga,Teloga,593,88,246,77,0,411,411,
7,Chattooga,Dirttown,897,254,269,77,0,600,600,
8,Chattooga,Seminole,138,37,45,17,0,99,99,
9,Chattooga,Subligna,489,171,127,56,1,355,355,
10,Chattooga,Alpine,872,268,237,81,0,586,586,
11,Chattooga,Cloudland,378,89,121,39,0,249,249,
12,Chattooga,Pennville,588,76,208,41,0,325,325,
