index,County,Precinct,Registered Voters,Jeff Mullis (I) (Rep)_Election Day Votes,Jeff Mullis (I) (Rep)_Advanced Voting Votes,Jeff Mullis (I) (Rep)_Absentee by Mail Votes,Jeff Mullis (I) (Rep)_Provisional Votes,Jeff Mullis (I) (Rep)_Choice Total,Total,
0,Chattooga,Dirtseller,186,47,63,10,0,120,120,
1,Chattooga,Haywood,169,78,24,4,1,107,107,
2,Chattooga,Trion,3496,611,1214,315,0,2140,2140,
3,Chattooga,Summerville,5155,615,1828,528,0,2971,2971,
4,Chattooga,Teloga,593,92,243,77,0,412,412,
5,Chattooga,Dirttown,897,260,272,76,0,608,608,
6,Chattooga,Subligna,489,169,126,57,1,353,353,
7,Chattooga,Alpine,872,272,236,79,0,587,587,
8,Chattooga,Cloudland,378,82,119,43,0,244,244,
9,Chattooga,Pennville,588,75,204,42,0,321,321,
