County,Precinct,Registered Voters,Kim Windle James (I) (Rep)_Election Day Votes,Kim Windle James (I) (Rep)_Advanced Voting Votes,Kim Windle James (I) (Rep)_Absentee by Mail Votes,Kim Windle James (I) (Rep)_Provisional Votes,Kim Windle James (I) (Rep)_Choice Total,Total,
Chattooga,Coldwater,248,32,96,30,0,158,158,
Chattooga,Dirtseller,186,48,64,9,0,121,121,
Chattooga,Haywood,169,77,24,6,1,108,108,
Chattooga,Lyerly,934,243,292,74,2,611,611,
Chattooga,Trion,3496,627,1256,340,1,2224,2224,
Chattooga,Summerville,5155,642,1911,555,1,3109,3109,
Chattooga,Teloga,593,93,249,79,0,421,421,
Chattooga,Dirttown,897,263,279,82,0,624,624,
Chattooga,Seminole,138,37,47,21,0,105,105,
Chattooga,Subligna,489,172,129,57,1,359,359,
Chattooga,Alpine,872,278,242,82,0,602,602,
Chattooga,Cloudland,378,88,126,43,0,257,257,
Chattooga,Pennville,588,75,211,47,0,333,333,
