index,County,Precinct,Registered Voters,Blake Elsberry (Rep)_Election Day Votes,Blake Elsberry (Rep)_Advanced Voting Votes,Blake Elsberry (Rep)_Absentee by Mail Votes,Blake Elsberry (Rep)_Provisional Votes,Blake Elsberry (Rep)_Choice Total,Jimmy Holbrook (Dem)_Election Day Votes,Jimmy Holbrook (Dem)_Advanced Voting Votes,Jimmy Holbrook (Dem)_Absentee by Mail Votes,Jimmy Holbrook (Dem)_Provisional Votes,Jimmy Holbrook (Dem)_Choice Total,Total,
0,Chattooga,Coldwater,248,20,62,15,0,97,17,44,26,0,87,184,
1,Chattooga,Dirtseller,186,31,33,4,0,68,16,28,7,0,51,119,
2,Chattooga,Haywood,169,60,20,3,0,83,21,3,5,1,30,113,
3,Chattooga,Lyerly,934,148,217,43,2,410,100,95,39,0,234,644,
4,Chattooga,Trion,3496,494,986,205,1,1686,157,325,171,0,653,2339,
5,Chattooga,Summerville,5155,454,1375,319,1,2149,239,661,363,1,1264,3413,
6,Chattooga,Teloga,593,69,208,57,0,334,24,59,30,0,113,447,
7,Chattooga,Dirttown,897,208,228,55,0,491,71,71,57,0,199,690,
8,Chattooga,Seminole,138,29,37,10,0,76,7,10,8,0,25,101,
9,Chattooga,Subligna,489,141,112,47,1,301,33,19,17,0,69,370,
10,Chattooga,Alpine,872,193,180,50,0,423,95,80,45,0,220,643,
11,Chattooga,Cloudland,378,55,83,27,0,165,35,62,28,0,125,290,
12,Chattooga,Pennville,588,61,165,38,0,264,18,53,15,0,86,350,
