index,County,Precinct,Registered Voters,Eddie D. Elsberry (I) (Dem)_Election Day Votes,Eddie D. Elsberry (I) (Dem)_Advanced Voting Votes,Eddie D. Elsberry (I) (Dem)_Absentee by Mail Votes,Eddie D. Elsberry (I) (Dem)_Provisional Votes,Eddie D. Elsberry (I) (Dem)_Choice Total,Total,
0,Chattooga,Coldwater,248,33,93,34,0,160,160,
1,Chattooga,Dirtseller,186,45,59,10,0,114,114,
2,Chattooga,Haywood,169,65,13,7,1,86,86,
3,Chattooga,Lyerly,934,224,273,75,0,572,572,
4,Chattooga,Trion,3496,354,828,231,0,1413,1413,
5,Chattooga,Summerville,5155,606,1770,598,2,2976,2976,
6,Chattooga,Teloga,593,71,205,68,0,344,344,
7,Chattooga,Dirttown,897,229,227,89,0,545,545,
8,Chattooga,Seminole,138,34,38,18,0,90,90,
9,Chattooga,Subligna,489,141,104,52,1,298,298,
10,Chattooga,Alpine,872,248,219,89,0,556,556,
11,Chattooga,Cloudland,378,74,106,43,0,223,223,
12,Chattooga,Pennville,588,70,184,47,0,301,301,
