index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Chattooga,Coldwater,248,24,74,13,0,111,10,28,25,0,63,0,3,1,0,4,178,
1,Chattooga,Dirtseller,186,42,56,7,0,105,4,4,4,0,12,0,5,0,0,5,122,
2,Chattooga,Haywood,169,67,23,3,0,93,11,1,5,1,18,2,0,0,0,2,113,
3,Chattooga,Lyerly,934,198,252,50,1,501,33,44,28,0,105,15,10,1,0,26,632,
4,Chattooga,Trion,3496,531,1091,237,1,1860,73,159,136,0,368,21,31,11,0,63,2291,
5,Chattooga,Summerville,5155,508,1558,377,1,2444,143,366,276,1,786,25,61,29,0,115,3345,
6,Chattooga,Teloga,593,82,233,65,0,380,8,18,21,0,47,3,4,3,0,10,437,
7,Chattooga,Dirttown,897,243,249,66,0,558,28,37,40,0,105,5,10,7,0,22,685,
8,Chattooga,Seminole,138,31,37,18,0,86,2,7,3,0,12,3,1,0,0,4,102,
9,Chattooga,Subligna,489,159,118,44,1,322,9,10,18,0,37,4,1,1,0,6,365,
10,Chattooga,Alpine,872,243,203,68,0,514,28,39,32,0,99,7,6,4,0,17,630,
11,Chattooga,Cloudland,378,73,95,36,0,204,8,38,23,0,69,3,7,3,0,13,286,
12,Chattooga,Pennville,588,64,180,34,0,278,12,23,11,0,46,1,6,3,0,10,334,
