index,County,Precinct,Registered Voters,Danny Mathis (I) (Rep)_Election Day Votes,Danny Mathis (I) (Rep)_Advanced Voting Votes,Danny Mathis (I) (Rep)_Absentee by Mail Votes,Danny Mathis (I) (Rep)_Provisional Votes,Danny Mathis (I) (Rep)_Choice Total,Mary_Election Day Votes,Mary_Advanced Voting Votes,Mary_Absentee by Mail Votes,Mary_Provisional Votes,Mary_Choice Total,Total,
0,Twiggs,Dry Branch,1550,308,350,130,0,788,40,73,53,0,166,954,
1,Twiggs,Golden Isles,1692,190,235,60,0,485,156,257,243,1,657,1142,
2,Twiggs,Higgsville,758,159,190,64,0,413,34,66,39,0,139,552,
3,Twiggs,Jeffersonville/Ware,1464,89,269,43,0,401,106,318,246,3,673,1074,
4,Twiggs,Shady Grove/Tarvers,840,87,181,51,0,319,66,102,97,0,265,584,
