index,County,Precinct,Registered Voters,Clay Floyd (Rep)_Election Day Votes,Clay Floyd (Rep)_Advanced Voting Votes,Clay Floyd (Rep)_Absentee by Mail Votes,Clay Floyd (Rep)_Provisional Votes,Clay Floyd (Rep)_Choice Total,Marble (Coonnie) Taylor (Dem)_Election Day Votes,Marble (Coonnie) Taylor (Dem)_Advanced Voting Votes,Marble (Coonnie) Taylor (Dem)_Absentee by Mail Votes,Marble (Coonnie) Taylor (Dem)_Provisional Votes,Marble (Coonnie) Taylor (Dem)_Choice Total,Total,
0,Twiggs,Golden Isles,1692,25,25,6,0,56,0,3,1,0,4,60,
1,Twiggs,Higgsville,758,142,165,52,0,359,53,90,47,0,190,549,
2,Twiggs,Shady Grove/Tarvers,840,80,157,54,0,291,43,68,51,0,162,453,
