index,County,Precinct,Registered Voters,Shirley Lee Stokes (I) (Dem)_Election Day Votes,Shirley Lee Stokes (I) (Dem)_Advanced Voting Votes,Shirley Lee Stokes (I) (Dem)_Absentee by Mail Votes,Shirley Lee Stokes (I) (Dem)_Provisional Votes,Shirley Lee Stokes (I) (Dem)_Choice Total,Total,
0,Twiggs,Dry Branch,1550,253,294,128,0,675,675,
1,Twiggs,Golden Isles,1692,1,5,4,0,10,10,
