index,County,Precinct,Registered Voters,Teresa Dupree Blackshear (I) (Dem)_Election Day Votes,Teresa Dupree Blackshear (I) (Dem)_Advanced Voting Votes,Teresa Dupree Blackshear (I) (Dem)_Absentee by Mail Votes,Teresa Dupree Blackshear (I) (Dem)_Provisional Votes,Teresa Dupree Blackshear (I) (Dem)_Choice Total,Total,
0,Twiggs,Golden Isles,1692,11,18,4,0,33,33,
1,Twiggs,Higgsville,758,146,200,80,0,426,426,
2,Twiggs,Shady Grove/Tarvers,840,93,165,84,0,342,342,
