index,County,Precinct,Registered Voters,"Harold L. Reece, Jr. (I) (Dem)_Election Day Votes","Harold L. Reece, Jr. (I) (Dem)_Advanced Voting Votes","Harold L. Reece, Jr. (I) (Dem)_Absentee by Mail Votes","Harold L. Reece, Jr. (I) (Dem)_Provisional Votes","Harold L. Reece, Jr. (I) (Dem)_Choice Total",Total,
0,Twiggs,Dry Branch,1550,291,350,150,0,791,791,
1,Twiggs,Golden Isles,1692,301,445,272,1,1019,1019,
2,Twiggs,Higgsville,758,175,236,90,0,501,501,
3,Twiggs,Jeffersonville/Ware,1464,183,520,260,3,966,966,
4,Twiggs,Shady Grove/Tarvers,840,138,254,138,0,530,530,
