index,County,Precinct,Registered Voters,Sam Way (I) (Rep)_Election Day Votes,Sam Way (I) (Rep)_Advanced Voting Votes,Sam Way (I) (Rep)_Absentee by Mail Votes,Sam Way (I) (Rep)_Provisional Votes,Sam Way (I) (Rep)_Choice Total,Total,
0,Marion,Pineknot,971,296,233,68,0,597,597,
1,Marion,Buena Vista,2343,214,831,312,0,1357,1357,
2,Marion,Tazewell,320,110,100,30,0,240,240,
3,Marion,Brantley,396,75,164,47,0,286,286,
4,Marion,Fort Perry,883,191,249,90,0,530,530,
