index,County,Precinct,Registered Voters,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_Choice Total,Total,
0,Marion,Pineknot,971,154,158,55,0,367,367,
1,Marion,Buena Vista,2343,212,753,403,0,1368,1368,
2,Marion,Tazewell,320,62,64,23,0,149,149,
3,Marion,Brantley,396,44,78,43,0,165,165,
4,Marion,Fort Perry,883,122,159,75,0,356,356,
