index,County,Precinct,Registered Voters,Mike Cheokas (I) (Rep)_Election Day Votes,Mike Cheokas (I) (Rep)_Advanced Voting Votes,Mike Cheokas (I) (Rep)_Absentee by Mail Votes,Mike Cheokas (I) (Rep)_Provisional Votes,Mike Cheokas (I) (Rep)_Choice Total,Marc Arnett (Dem)_Election Day Votes,Marc Arnett (Dem)_Advanced Voting Votes,Marc Arnett (Dem)_Absentee by Mail Votes,Marc Arnett (Dem)_Provisional Votes,Marc Arnett (Dem)_Choice Total,Total,
0,Marion,Pineknot,971,297,226,58,0,581,15,31,30,0,76,657,
1,Marion,Buena Vista,2343,96,541,135,0,772,165,479,348,0,992,1764,
2,Marion,Tazewell,320,107,95,20,0,222,12,9,13,0,34,256,
3,Marion,Brantley,396,69,160,34,0,263,10,13,22,0,45,308,
4,Marion,Fort Perry,883,177,221,68,0,466,27,46,39,0,112,578,
