index,County,Precinct,Registered Voters,Heather Stuart (I) (Rep)_Election Day Votes,Heather Stuart (I) (Rep)_Advanced Voting Votes,Heather Stuart (I) (Rep)_Absentee by Mail Votes,Heather Stuart (I) (Rep)_Provisional Votes,Heather Stuart (I) (Rep)_Choice Total,Total,
0,Marion,Pineknot,971,302,246,71,0,619,619,
1,Marion,Buena Vista,2343,220,872,341,0,1433,1433,
2,Marion,Tazewell,320,111,99,29,0,239,239,
3,Marion,Brantley,396,76,162,50,0,288,288,
4,Marion,Fort Perry,883,194,249,88,0,531,531,
